Weather,Color,Outfit1,Outfit2,Outfit3
Sunny,Blue,T-shirt, Shorts, Sunglasses
Rainy,Yellow,Raincoat, Boots, Umbrella
Cloudy,Grey,Jeans, Jacket, Sneakers
Snowy,White,Coat, Scarf, Gloves
Windy,Red,Windbreaker, Pants, Hat
Foggy,Green,Hoodie, Jeans, Boots
Sunny,Orange,Dress, Sandals, Hat
Rainy,Blue,Poncho, Rain Boots, Umbrella
Cloudy,Black,Sweater, Pants, Boots
Snowy,Purple,Jacket, Leggings, Gloves
Windy,Pink,Coat, Jeans, Scarf
Foggy,Brown,Hoodie, Pants, Boots
Sunny,Yellow,T-shirt, Shorts, Hat
Rainy,Green,Raincoat, Jeans, Boots
Cloudy,Red,Shirt, Pants, Sneakers
Snowy,Blue,Coat, Jeans, Gloves
Windy,White,Jacket, Pants, Hat
Foggy,Black,Hoodie, Leggings, Boots
Sunny,Grey,T-shirt, Shorts, Sunglasses
Rainy,Orange,Raincoat, Skirt, Boots
Cloudy,Yellow,Sweater, Pants, Sneakers
Snowy,Green,Coat, Jeans, Gloves
Windy,Blue,Blouse, Pants, Scarf
Foggy,Red,Hoodie, Jeans, Boots
Sunny,Black,T-shirt, Shorts, Sunglasses
Rainy,Purple,Raincoat, Leggings, Boots
Cloudy,Pink,Sweater, Skirt, Sneakers
Snowy,Orange,Coat, Pants, Gloves
Windy,Grey,Jacket, Jeans, Hat
Foggy,Blue,Hoodie, Leggings, Boots
Sunny,Brown,T-shirt, Shorts, Sunglasses
Rainy,White,Raincoat, Jeans, Boots
Cloudy,Green,Sweater, Pants, Sneakers
Snowy,Red,Coat, Skirt, Gloves
Windy,Black,Jacket, Pants, Scarf
Foggy,Yellow,Hoodie, Jeans, Boots
Sunny,Pink,Dress, Shorts, Sunglasses
Rainy,Grey,Raincoat, Pants, Boots
Cloudy,Blue,Shirt, Skirt, Sneakers
Snowy,Orange,Coat, Leggings, Gloves
Windy,Yellow,Blouse, Pants, Hat
Foggy,White,Hoodie, Pants, Boots
Sunny,Green,T-shirt, Shorts, Hat
Rainy,Red,Raincoat, Jeans, Boots
Cloudy,Black,Sweater, Skirt, Sneakers
Snowy,Pink,Jacket, Leggings, Gloves
Windy,Brown,Coat, Pants, Scarf
Foggy,Blue,Hoodie, Jeans, Boots
